MSOA,Local Authority,Construction,Wholesale (including motor trades),Retail (excluding motor trades),Accommodation and Food Service activities,Information and communication,Head Office and Management Consultancy activities,"Professional, Scientific and Technical Activities (excluding Head Office and Management Consultancy activities)",Administrative and Support Service activities,Human Health and Social Work activities,,,,,,,,,,
E02000809,Southwark,120,115,120,155,380,360,520,320,80,,,,,,,,,,
E02000810,Southwark,35,35,40,30,100,70,100,65,30,,,,,,,,,,
E02000812,Southwark,55,20,60,60,95,80,110,80,35,,,,,,,,,,
E02000813,Southwark,20,10,50,35,85,50,50,45,25,,,,,,,,,,
E02000814,Southwark,40,15,20,20,120,80,75,45,15,,,,,,,,,,
E02000815,Southwark,15,15,40,25,55,50,50,45,80,,,,,,,,,,
E02000816,Southwark,20,20,30,25,45,20,40,30,20,,,,,,,,,,
E02000817,Southwark,15,25,255,15,20,10,15,20,20,,,,,,,,,,
E02000818,Southwark,15,15,40,25,45,25,35,20,25,,,,,,,,,,
E02000819,Southwark,20,10,25,10,25,10,20,25,20,,,,,,,,,,
E02000820,Southwark,20,5,15,15,85,35,60,30,15,,,,,,,,,,
E02000821,Southwark,20,15,20,25,25,10,30,20,20,,,,,,,,,,
E02000822,Southwark,10,0,45,10,20,10,10,20,10,,,,,,,,,,
E02000823,Southwark,15,15,35,15,35,20,35,30,30,,,,,,,,,,
E02000824,Southwark,35,30,35,25,25,15,25,40,40,,,,,,,,,,
E02000825,Southwark,10,5,10,5,30,10,20,20,30,,,,,,,,,,
E02000826,Southwark,25,5,10,10,40,25,30,25,20,,,,,,,,,,
E02000827,Southwark,20,25,55,45,35,15,45,30,35,,,,,,,,,,
E02000828,Southwark,10,10,80,25,25,10,25,30,35,,,,,,,,,,
E02000829,Southwark,25,15,20,20,45,25,45,20,20,,,,,,,,,,
E02000830,Southwark,20,15,25,55,70,40,70,50,25,,,,,,,,,,
E02000831,Southwark,25,25,75,55,75,55,95,40,20,,,,,,,,,,
E02000832,Southwark,35,15,20,30,55,25,55,30,30,,,,,,,,,,
E02000833,Southwark,10,5,10,5,35,25,35,20,25,,,,,,,,,,
E02000834,Southwark,25,15,35,35,80,70,115,50,40,,,,,,,,,,
E02000835,Southwark,20,0,10,10,50,35,45,20,15,,,,,,,,,,
E02000836,Southwark,35,15,65,45,85,50,85,40,25,,,,,,,,,,
E02000837,Southwark,20,30,60,20,65,95,100,55,35,,,,,,,,,,
E02000838,Southwark,25,5,35,25,60,50,90,30,25,,,,,,,,,,
E02000839,Southwark,15,10,15,15,60,45,55,30,30,,,,,,,,,,
E02006802,Southwark,30,20,25,65,120,80,110,85,45,,,,,,,,,,
E02000840,Sutton,50,5,15,10,10,5,10,20,15,,,,,,,,,,
E02000841,Sutton,55,10,25,20,15,10,20,20,20,,,,,,,,,,
E02000842,Sutton,100,65,45,25,35,15,40,35,15,,,,,,,,,,
E02000843,Sutton,70,30,35,20,40,15,35,35,15,,,,,,,,,,
E02000844,Sutton,80,20,20,15,20,15,20,20,15,,,,,,,,,,
E02000845,Sutton,60,10,45,30,75,40,45,45,15,,,,,,,,,,
E02000846,Sutton,50,10,15,10,40,20,35,30,25,,,,,,,,,,
E02000847,Sutton,75,15,15,15,60,30,45,35,20,,,,,,,,,,
E02000848,Sutton,80,20,35,25,25,15,20,25,35,,,,,,,,,,
E02000849,Sutton,55,15,10,15,30,15,30,20,15,,,,,,,,,,
E02000850,Sutton,85,90,30,25,40,25,35,60,20,,,,,,,,,,
E02000851,Sutton,75,40,155,65,50,35,65,65,50,,,,,,,,,,
E02000852,Sutton,80,25,25,15,50,20,35,35,15,,,,,,,,,,
E02000853,Sutton,70,20,15,5,40,15,30,15,15,,,,,,,,,,
E02000854,Sutton,60,15,30,30,45,20,55,50,25,,,,,,,,,,
E02000855,Sutton,105,20,55,30,70,40,80,55,20,,,,,,,,,,
E02000856,Sutton,80,15,55,30,60,35,40,50,35,,,,,,,,,,
E02000857,Sutton,50,10,10,25,95,30,50,45,45,,,,,,,,,,
E02000858,Sutton,50,15,25,15,25,10,25,20,15,,,,,,,,,,
E02000859,Sutton,55,10,10,15,50,30,40,20,35,,,,,,,,,,
E02000860,Sutton,40,10,10,10,75,30,50,25,35,,,,,,,,,,
E02000861,Sutton,60,25,25,10,55,55,65,40,30,,,,,,,,,,
E02000863,Sutton,55,20,15,10,50,25,35,35,25,,,,,,,,,,
E02006836,Sutton,80,15,20,15,85,55,70,45,60,,,,,,,,,,
E02000864,Tower Hamlets,20,25,60,35,70,25,50,35,25,,,,,,,,,,
E02000865,Tower Hamlets,20,25,30,35,55,20,75,35,40,,,,,,,,,,
E02000866,Tower Hamlets,30,10,30,35,80,50,55,30,30,,,,,,,,,,
E02000867,Tower Hamlets,35,40,30,25,125,75,95,70,55,,,,,,,,,,
E02000868,Tower Hamlets,40,25,35,30,75,35,110,25,35,,,,,,,,,,
E02000869,Tower Hamlets,20,20,45,25,65,35,90,35,15,,,,,,,,,,
E02000870,Tower Hamlets,10,10,25,20,35,25,40,20,15,,,,,,,,,,
E02000871,Tower Hamlets,25,20,30,10,40,30,30,45,20,,,,,,,,,,
E02000872,Tower Hamlets,15,20,90,55,90,50,110,40,20,,,,,,,,,,
E02000873,Tower Hamlets,10,5,40,20,50,20,45,20,30,,,,,,,,,,
E02000874,Tower Hamlets,5,15,30,10,40,20,50,25,20,,,,,,,,,,
E02000875,Tower Hamlets,20,35,25,15,45,25,30,30,30,,,,,,,,,,
E02000876,Tower Hamlets,15,35,75,40,50,35,85,50,35,,,,,,,,,,
E02000877,Tower Hamlets,15,30,35,30,60,35,40,35,20,,,,,,,,,,
E02000878,Tower Hamlets,55,135,200,200,340,210,325,230,85,,,,,,,,,,
E02000879,Tower Hamlets,15,15,25,30,40,25,35,30,20,,,,,,,,,,
E02000880,Tower Hamlets,20,30,35,20,35,25,55,45,20,,,,,,,,,,
E02000881,Tower Hamlets,20,10,20,10,35,30,40,25,10,,,,,,,,,,
E02000882,Tower Hamlets,20,15,20,10,40,30,35,35,15,,,,,,,,,,
E02000883,Tower Hamlets,25,5,50,25,20,15,25,20,20,,,,,,,,,,
E02000884,Tower Hamlets,65,165,115,120,235,160,225,160,45,,,,,,,,,,
E02000885,Tower Hamlets,10,15,30,15,25,10,15,15,20,,,,,,,,,,
E02000886,Tower Hamlets,15,15,20,20,100,75,70,40,25,,,,,,,,,,
E02000887,Tower Hamlets,20,5,20,25,50,35,20,35,15,,,,,,,,,,
E02000888,Tower Hamlets,20,30,40,25,85,75,40,30,20,,,,,,,,,,
E02000889,Tower Hamlets,10,30,20,25,90,90,65,50,15,,,,,,,,,,
E02000890,Tower Hamlets,40,30,25,55,145,120,105,110,20,,,,,,,,,,
E02000891,Tower Hamlets,60,55,55,50,330,195,150,160,55,,,,,,,,,,
E02000893,Tower Hamlets,25,5,15,5,80,40,35,25,10,,,,,,,,,,
E02000894,Tower Hamlets,25,15,20,15,160,110,65,35,20,,,,,,,,,,
E02006853,Tower Hamlets,35,25,15,10,135,75,55,60,15,,,,,,,,,,
E02006854,Tower Hamlets,145,120,175,170,370,225,190,300,60,,,,,,,,,,
E02000895,Waltham Forest,65,15,15,10,35,30,25,30,20,,,,,,,,,,
E02000896,Waltham Forest,95,30,55,35,60,50,70,70,25,,,,,,,,,,
E02000897,Waltham Forest,65,0,25,5,20,20,30,25,15,,,,,,,,,,
E02000898,Waltham Forest,55,10,10,5,25,15,25,20,15,,,,,,,,,,
E02000899,Waltham Forest,100,25,70,35,20,20,35,30,20,,,,,,,,,,
E02000900,Waltham Forest,70,35,35,10,15,10,25,25,20,,,,,,,,,,
E02000901,Waltham Forest,85,20,30,30,50,45,55,45,30,,,,,,,,,,
E02000902,Waltham Forest,70,20,15,5,35,15,30,20,10,,,,,,,,,,
E02000903,Waltham Forest,65,35,20,15,30,10,30,35,15,,,,,,,,,,
E02000904,Waltham Forest,70,20,30,5,45,30,45,40,25,,,,,,,,,,
E02000905,Waltham Forest,50,15,40,25,45,25,45,35,25,,,,,,,,,,
E02000906,Waltham Forest,60,10,35,15,50,20,40,40,30,,,,,,,,,,
E02000907,Waltham Forest,50,10,35,30,40,25,35,35,40,,,,,,,,,,
E02000908,Waltham Forest,75,40,35,15,50,20,50,50,15,,,,,,,,,,
E02000909,Waltham Forest,55,20,30,20,50,35,55,30,25,,,,,,,,,,
E02000910,Waltham Forest,75,20,45,25,80,25,85,40,40,,,,,,,,,,
E02000911,Waltham Forest,80,20,180,75,75,30,65,50,25,,,,,,,,,,
E02000912,Waltham Forest,35,10,15,5,40,10,20,20,10,,,,,,,,,,
E02000913,Waltham Forest,50,20,30,10,30,15,30,30,40,,,,,,,,,,
E02000914,Waltham Forest,60,25,75,40,30,10,55,45,30,,,,,,,,,,
E02000915,Waltham Forest,50,15,25,15,60,30,45,30,50,,,,,,,,,,
E02000916,Waltham Forest,90,150,70,35,40,30,60,50,25,,,,,,,,,,
E02000917,Waltham Forest,70,25,20,15,50,20,35,40,25,,,,,,,,,,
E02000918,Waltham Forest,85,20,60,30,45,30,75,55,25,,,,,,,,,,
E02000919,Waltham Forest,45,15,30,25,50,25,45,35,25,,,,,,,,,,
E02000920,Waltham Forest,65,115,55,35,40,165,70,75,35,,,,,,,,,,
E02000921,Waltham Forest,60,15,30,30,35,15,30,45,40,,,,,,,,,,
E02000922,Waltham Forest,75,25,35,15,40,15,40,25,30,,,,,,,,,,
E02000923,Wandsworth,25,25,40,35,65,70,90,75,25,,,,,,,,,,
E02000924,Wandsworth,70,175,80,55,100,90,100,105,35,,,,,,,,,,
E02000925,Wandsworth,25,10,25,20,35,40,40,30,10,,,,,,,,,,
E02000926,Wandsworth,50,60,70,50,130,135,115,105,45,,,,,,,,,,
E02000927,Wandsworth,20,25,35,30,50,40,50,40,15,,,,,,,,,,
E02000928,Wandsworth,40,15,40,40,80,110,120,85,30,,,,,,,,,,
E02000929,Wandsworth,5,5,15,5,25,15,30,20,20,,,,,,,,,,
E02000930,Wandsworth,45,30,110,85,100,90,120,75,50,,,,,,,,,,
E02000931,Wandsworth,25,5,15,15,75,100,100,50,15,,,,,,,,,,
E02000932,Wandsworth,70,85,140,110,185,190,230,135,55,,,,,,,,,,
E02000933,Wandsworth,30,20,35,10,75,100,85,55,40,,,,,,,,,,
E02000934,Wandsworth,35,15,80,55,80,105,100,65,30,,,,,,,,,,
E02000935,Wandsworth,15,0,10,5,15,10,20,30,20,,,,,,,,,,
E02000936,Wandsworth,25,15,15,10,110,90,125,55,85,,,,,,,,,,
E02000937,Wandsworth,40,15,40,10,60,90,95,70,30,,,,,,,,,,
E02000938,Wandsworth,30,15,10,10,70,60,50,30,30,,,,,,,,,,
E02000939,Wandsworth,15,10,10,5,50,95,90,55,40,,,,,,,,,,
E02000940,Wandsworth,20,30,100,40,75,60,55,70,45,,,,,,,,,,
E02000941,Wandsworth,45,20,30,20,85,85,120,90,35,,,,,,,,,,
E02000942,Wandsworth,50,5,50,15,120,100,90,55,25,,,,,,,,,,
E02000943,Wandsworth,40,20,65,65,90,90,110,65,40,,,,,,,,,,
E02000944,Wandsworth,15,5,10,5,40,20,30,30,10,,,,,,,,,,
E02000945,Wandsworth,25,5,20,15,20,5,25,20,15,,,,,,,,,,
E02000946,Wandsworth,50,30,35,30,70,60,90,50,20,,,,,,,,,,
E02000947,Wandsworth,40,40,30,20,75,75,90,50,30,,,,,,,,,,
E02000948,Wandsworth,35,10,5,5,100,75,85,50,40,,,,,,,,,,
E02000949,Wandsworth,30,15,60,35,90,90,105,60,35,,,,,,,,,,
E02000950,Wandsworth,30,10,10,0,50,30,45,35,15,,,,,,,,,,
E02000951,Wandsworth,15,15,25,30,50,45,60,25,25,,,,,,,,,,
E02000952,Wandsworth,20,0,20,15,35,40,50,30,25,,,,,,,,,,
E02000953,Wandsworth,40,25,25,15,50,60,65,55,25,,,,,,,,,,
E02000954,Wandsworth,20,10,35,15,40,40,35,30,20,,,,,,,,,,
E02000955,Wandsworth,20,10,45,15,45,30,65,55,20,,,,,,,,,,
E02000956,Wandsworth,30,10,25,30,30,20,40,25,35,,,,,,,,,,
E02000957,Wandsworth,40,30,90,50,65,45,80,50,50,,,,,,,,,,
E02000958,Wandsworth,40,5,15,10,55,35,45,30,20,,,,,,,,,,
E02000959,Wandsworth,45,10,30,15,40,25,45,25,25,,,,,,,,,,
E02000960,Westminster,25,25,65,25,55,55,45,40,40,,,,,,,,,,
E02000961,Westminster,25,15,35,30,55,65,75,60,25,,,,,,,,,,
E02000962,Westminster,30,20,25,10,50,50,40,65,35,,,,,,,,,,
E02000963,Westminster,40,15,25,10,45,30,40,20,20,,,,,,,,,,
E02000964,Westminster,25,25,55,35,75,60,85,50,45,,,,,,,,,,
E02000965,Westminster,15,20,30,20,90,90,80,60,25,,,,,,,,,,
E02000966,Westminster,20,10,45,45,100,125,85,65,25,,,,,,,,,,
E02000967,Westminster,80,65,95,105,155,160,180,170,45,,,,,,,,,,
E02000968,Westminster,25,30,95,65,70,45,55,65,45,,,,,,,,,,
E02000969,Westminster,30,15,30,25,45,40,50,40,40,,,,,,,,,,
E02000970,Westminster,545,215,545,325,345,680,545,620,590,,,,,,,,,,
E02000971,Westminster,280,110,160,160,185,245,255,275,70,,,,,,,,,,
E02000972,Westminster,990,655,"1,270",950,"2,430","1,650","1,745","1,690",270,,,,,,,,,,
E02000973,Westminster,30,20,55,55,105,100,150,85,30,,,,,,,,,,
E02000974,Westminster,60,40,110,210,105,105,95,110,55,,,,,,,,,,
E02000975,Westminster,55,30,55,130,165,145,135,135,35,,,,,,,,,,
E02000976,Westminster,55,30,110,135,80,95,75,90,35,,,,,,,,,,
E02000977,Westminster,690,375,945,925,"1,010","1,540","1,945","1,515",180,,,,,,,,,,
E02000978,Westminster,105,70,140,120,65,195,215,250,50,,,,,,,,,,
E02000979,Westminster,155,70,150,205,260,395,285,425,110,,,,,,,,,,
E02000980,Westminster,30,15,40,55,70,95,60,80,30,,,,,,,,,,
E02000981,Westminster,35,30,65,110,65,120,110,95,35,,,,,,,,,,
E02000982,Westminster,55,40,115,110,85,145,105,145,50,,,,,,,,,,
E02000983,Westminster,25,10,25,20,40,55,40,35,20,,,,,,,,,,
,London (all MSOAs total),"52,490","28,805","46,340","31,375","70,745","51,665","73,505","60,855","30,280",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Source: Inter-Departmental Business Register,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Crown copyright, Office for National Statistics, 2018",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,
"1. For the exact definitions of the industrial classifications listed, please refer to the sheet called ""Information"".",,,,,,,,,,,,,,,,,,,,
2. All figures rounded to the nearest 5 workplaces. Figures which appear to be zero may be any value between 0 and 2.,,,,,,,,,,,,,,,,,,,,
3. Figures may not add exactly due to rounding.,,,,,,,,,,,,,,,,,,,,
4. Local units with zero employment and enterprises with zero employment have been excluded from this analysis.,,,,,,,,,,,,,,,,,,,,
"5. MSOA stands for Middle-layer Super Output Area, a population-based geographic breakdown. For more information, please see:",,,,,,,,,,,,,,,,,,,,
www.ons.gov.uk/ons/guide-method/geography/beginner-s-guide/census/super-output-areas--soas-/index.html,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
